"None","Points:0","Points:1","Points:2"
55.433,4.5678e+05,3.8919e+06,-1e+05
55.245,4.6078e+05,3.8919e+06,-1e+05
55.072,4.6478e+05,3.8919e+06,-1e+05
54.907,4.6878e+05,3.8919e+06,-1e+05
54.729,4.7278e+05,3.8919e+06,-1e+05
54.518,4.7678e+05,3.8919e+06,-1e+05
54.269,4.8078e+05,3.8919e+06,-1e+05
54.088,4.8478e+05,3.8919e+06,-1e+05
53.908,4.8878e+05,3.8919e+06,-1e+05
53.803,4.9278e+05,3.8919e+06,-1e+05
53.738,4.9678e+05,3.8919e+06,-1e+05
53.669,5.0078e+05,3.8919e+06,-1e+05
53.585,5.0478e+05,3.8919e+06,-1e+05
53.527,5.0878e+05,3.8919e+06,-1e+05
53.472,5.1278e+05,3.8919e+06,-1e+05
53.458,5.1678e+05,3.8919e+06,-1e+05
53.477,5.2078e+05,3.8919e+06,-1e+05
53.542,5.2478e+05,3.8919e+06,-1e+05
53.638,5.2878e+05,3.8919e+06,-1e+05
53.789,5.3278e+05,3.8919e+06,-1e+05
53.982,5.3678e+05,3.8919e+06,-1e+05
54.273,5.4078e+05,3.8919e+06,-1e+05
54.605,5.4478e+05,3.8919e+06,-1e+05
